,Country,Cardio Death Rate,Diabetes Percentage,Obesity,Undernourished,PopMale,PopFemale,PopTotal,Total Population
169,Madagascar,0.40599408305662715,3.94,4.5,44.4,0.40309157380616323,0.5056933982654208,0.9087849720715839,26969.305999999997
170,Malawi,0.22734896215763048,3.94,4.7,17.5,0.27469906862774307,0.5061960950786337,0.7808951637063766,18628.749
171,Malaysia,0.2609423475385212,16.74,15.3,2.5,1.0656251908267687,1.1383611954370025,2.203986386263771,31949.789
172,Maldives,0.16490514246770893,9.19,7.9,10.3,0.8364142482347913,0.7652220424629491,1.6016362906977406,530.9569999999999
173,Mali,0.2680241801876268,2.42,7.1,6.3,0.3121626218465611,0.3967489507973412,0.7089115726439025,19658.022999999997
174,Malta,0.16871066478665311,8.83,31.0,1.0,3.4225220663204476,4.94008542680476,8.36260749312521,440.377
175,Marshall Islands,0.5577926116247401,30.53,,,,,,
176,Martinique,,,,,3.9091269767305628,5.889119361375236,9.798246338105802,375.557
177,Mauritania,0.2323471579139895,2.42,11.3,10.4,0.3769584271862594,0.5828935116748841,0.9598519388611436,4525.698
178,Mauritius,0.2246441750471266,22.02,11.5,6.5,1.49109611158805,2.4192900517457288,3.9103861633337798,1269.67
179,Mayotte,,,,,0.7014762185660128,0.8540200561331266,1.5554962746991392,266.15299999999996
180,Mexico,0.15278290321440902,13.06,28.4,3.6,1.2400865686396645,1.631979907369226,2.8720664760088903,127575.529
187,Moldova,0.4085022023429452,5.72,20.1,,1.3431495096281265,2.9445313655472884,4.287680875175415,4043.2580000000003
188,Monaco,,5.46,,,,,,
189,Mongolia,0.46004252928184325,4.82,19.6,13.4,0.5208414078531153,0.8589325324649957,1.3797739403181108,3225.1659999999997
190,Montenegro,0.3873045627272448,10.08,24.9,1.0,2.2970184143646053,3.6989560310069622,5.995974445371567,627.9880000000002
191,Montserrat,,,,,,,,
192,Morocco,0.4191458765938152,7.14,25.6,3.4,1.0658189680203587,1.5113636120609026,2.5771825800812613,36471.765999999996
193,Mozambique,0.3299419400002713,3.3,6.0,27.9,0.28416280646115133,0.5690138817230812,0.8531766881842324,30366.043
194,Myanmar,0.2021044572680839,4.61,5.7,10.6,0.6518609476303099,1.0920184877083576,1.743879435338667,54045.422000000006
195,Namibia,0.24381057640340167,3.94,15.0,27.3,0.4319862226220314,0.834307467075883,1.2662936896979144,2494.524
196,Nauru,,24.07,,,,,,
197,Nepal,0.26079727028372,7.26,3.8,8.7,0.8566725209433558,1.0473626655374066,1.904035186480763,28608.715000000004
198,Netherlands,0.10936139141528672,5.29,23.1,1.0,3.5462223673538524,4.78587537798026,8.332097745334114,17097.123
200,New Zealand,0.1287972514137827,8.08,32.0,1.0,2.970732973981938,3.7584501308994107,6.729183104881348,4783.062000000001
201,Nicaragua,0.13701563380350498,11.47,21.8,17.0,0.8753490755408714,1.2634170360933306,2.138766111634202,6545.502999999999
202,Niger,0.23833880993116044,2.42,4.7,16.5,0.29253923913715413,0.3728113234087717,0.6653505625459258,23310.718999999997
203,Nigeria,0.1810133494627609,2.42,7.8,13.4,0.30638334046986604,0.3495493659117964,0.6559327063816625,200963.60300000003
204,Niue,,,,,,,,
205,Norfolk Island,,,,,,,,
209,Northern Ireland,0.1258556233341901,,,,,,,
210,Northern Mariana Islands,0.1949941821842981,,,,,,,
211,Norway,0.11431573915849705,5.31,25.0,1.0,3.0890380283253385,4.240825052301984,7.329863080627322,5378.859
214,Oman,0.26634151668956557,12.61,22.9,6.8,0.4468750904524067,0.46082486162791825,0.9076999520803248,4974.991999999999
217,Pakistan,0.4230313480473463,8.35,7.8,20.3,0.7663466260389239,0.7197505221946504,1.4860971482335743,216565.31699999998
218,Palau,,15.89,,,,,,
219,Palestine,0.265910441873079,10.59,,,0.4331293353584577,0.5611851395043421,0.9943144748627999,4981.422000000001
220,Panama,0.12834608716718346,8.33,22.5,10.0,1.5585761249423042,1.9128729005943799,3.471449025536684,4246.4400000000005
221,Papua New Guinea,0.5614939494484182,17.65,,,0.3939326711499695,0.4620607355027888,0.8559934066527582,8776.119000000002
222,Paraguay,0.19912787423864742,8.27,19.0,10.7,1.0818297431564625,1.331977408636553,2.4138071517930153,7044.639000000001
223,Peru,0.08575458413505145,5.95,19.1,9.7,1.471612430484685,1.8088146517265733,3.280427082211259,32510.462000000003
224,Philippines,0.3704368854041117,7.07,6.0,13.3,0.6083042439117271,1.0692925644680242,1.6775968083797512,108116.62199999999
225,Pitcairn,,,,,,,,
226,Poland,0.22733091915806444,5.91,25.6,1.0,2.4330040423861305,4.800475066215958,7.233479108602086,37887.771
227,Portugal,0.1278421969422977,9.85,23.2,1.0,4.204718517514558,6.67756810022278,10.88228661773734,10226.178000000002
230,Puerto Rico,0.10809383298448459,12.9,,,3.5313581081910304,5.384018021384032,8.91537612957506,2933.404
231,Qatar,0.17668977902085234,16.52,,,0.12323137378971075,0.13287096262770245,0.25610233641741326,2832.0710000000004
232,Reunion,,,,,1.9527927895497073,2.918445955371165,4.871238744920871,888.9319999999999
233,Romania,0.37094633116924525,9.74,24.5,1.0,2.8647284384182687,5.076511428765892,7.94123986718416,19364.558
234,Russia,0.43129748860208406,6.18,25.7,1.0,1.6250471474151424,4.51644610154117,6.141493248956313,145872.26
235,Rwanda,0.1913751082014245,4.28,4.8,36.8,0.313274683062513,0.5164830935259206,0.8297577765884334,12626.937999999998
236,Saint Helena,,,,,,,,
237,Saint Kitts and Nevis,,12.84,23.1,,,,,
238,Saint Lucia,0.20461987649356567,11.62,19.8,,2.0574961021909792,2.1581553105938354,4.215651412784814,182.795
239,Saint Vincent and the Grenadines,0.2526754042434364,11.62,23.8,5.7,1.9223639832539132,2.105919904514752,4.028283887768666,110.59299999999999
240,Samoa,0.34897732866677883,9.21,45.5,2.7,0.6494396046536408,1.0005428909195153,1.649982495573156,197.09299999999996
241,San Marino,,5.64,,,,,,
242,Sao Tome and Principe,0.27011344425892736,2.42,10.6,7.0,0.3720099698671925,0.6170715375172053,0.9890815073843978,215.048
243,Saudi Arabia,0.2595379835108008,17.72,35.0,7.1,0.5198851692758683,0.5434840812688517,1.06336925054472,34268.528999999995
244,Scotland,0.14696996221045988,,,,,,,
245,Senegal,0.24121914878972803,2.42,7.4,11.3,0.38696980344447435,0.5543875375375193,0.9413573409819936,16296.361999999997
246,Serbia,0.4394150345307015,10.08,23.5,5.7,2.7403186510884128,4.215941491716815,6.956260142805229,8772.227999999997
247,Seychelles,0.2426480813690672,10.55,,,1.1888562629807349,2.1209113882608124,3.3097676512415477,97.74099999999997
