,Country,Confirmed,Deaths,Recovered,Active,Cardio Death Rate,Diabetes Percentage,Obesity,Undernourished,PopMale,PopFemale,PopTotal,Total Population,Clusters
29,Cameroon,0.008787934729836898,0.00041736893176006374,0.004761097443781468,0.0036094683542953663,0.24466051723604826,7.2,9.5,9.9,0.31883121859322944,0.4459316518956066,0.7647628704888358,25876.387,0
30,Central African Republic,0.003013584945899828,0.0,0.00021074020600698096,0.0028028447398928467,0.43572654166764657,6.1,6.3,59.6,0.2976073189230585,0.5488096444833799,0.8464169634064383,4745.179,0
31,Chad,0.0020192035032302867,0.0001943953683234127,0.0003323533716497056,0.0014924547632571685,0.2809954658871243,6.1,4.8,37.5,0.3212602940186049,0.4061671742476052,0.7274274682662103,15946.882,0
32,Chile,0.14362046081067284,0.0016040493804491181,0.06683714967812163,0.07517926175210209,0.12799291280575728,8.46,28.8,2.7,1.8870796724467849,2.964858391196513,4.851938063643297,18952.035,2
33,Colombia,0.020848462705477296,0.0008839986568782656,0.005103354043865763,0.014861110004733268,0.12423978788141067,7.44,22.1,4.8,1.4039527612572111,1.9132273672555342,3.317180128512745,50339.44299999999,1
34,Costa Rica,0.015453007898270078,0.00011886929152515444,0.009509543322012355,0.0058245952847325675,0.13797321353202632,8.78,25.7,4.8,1.7053979139628033,2.1635003519521607,3.868898265914964,5047.561,1
35,Cote d'Ivoire,0.006482205975186254,8.165946339466786e-05,0.002990291778595219,0.0034102547331963675,0.30374011170065635,2.42,9.0,19.0,0.384845496795566,0.3834378431884769,0.7682833399840429,25716.554000000004,0
36,Croatia,0.05268383717498418,0.002106385034110121,0.041788742170966314,0.008788709969907748,0.2537820762816497,5.59,27.1,1.0,3.2715791278064845,6.251920260494459,9.523499388300943,4130.299,2
37,Cuba,0.015476264844949711,0.0006529324963091668,0.010058689808006083,0.00476464254063446,0.1909681782096256,8.27,26.7,1.0,2.9522078118255606,3.7779821280022974,6.730189939827858,11333.483999999999,1
38,Cyprus,0.0744217712047817,0.0012514871839369123,0.033456424050580115,0.03971385997026468,0.1411707921475863,9.24,22.6,5.6,2.4715203233175425,3.388693564185442,5.860213887502983,1198.5739999999996,1
39,Czechia,0.07573055191247474,0.0025820422888008683,0.04160268861701979,0.03154582100665408,0.2274849040004097,6.82,28.5,1.0,2.9158648068852218,4.8700217686746425,7.7858865755598625,10689.213000000002,2
40,Djibouti,0.12212946956367218,0.000308148367275876,0.08566524610269352,0.036156075093702784,0.25803706876012433,6.05,12.2,18.9,0.6635461508673864,0.7711926471690923,1.4347387980364783,973.557,0
41,Dominican Republic,0.09202010958792367,0.003585078141201236,0.02406192705678959,0.06437310438993284,0.2666530363664655,8.2,26.9,9.5,1.2997724080653277,1.5777323626493711,2.8775047707146983,10738.957,1
42,Ecuador,0.16732804152861996,0.009882778277480667,0.019759800714380393,0.13768546253675892,0.1404477892123872,5.55,19.3,7.9,1.2881628778558247,1.6254954267832036,2.9136583046390285,17373.657000000007,2
43,Egypt,0.008929347345993566,0.0005120130004284575,0.0019942607526415796,0.006423073592923529,0.5254321737088022,17.31,31.1,4.5,0.6370388052859985,0.9527824798634456,1.589821285149444,100388.07599999996,1
44,El Salvador,0.012148352457174733,0.0002634209078724113,0.004276715916046207,0.007608215633256115,0.1672945015915384,8.87,22.7,9.0,1.4951150916937188,2.073773349551797,3.5688884412455164,6453.55,1
