,Country,Confirmed,Deaths,Recovered,Active,Cardio Death Rate,Diabetes Percentage,Obesity,Undernourished,PopMale,PopFemale,PopTotal,Total Population
104,Lithuania,1444,49,828,567,0.34298915885033604,3.67,28.4,1.0,3.0920800643274413,7.280248699916762,10.372328764244203,2759.6310000000003
105,Luxembourg,3877,101,3550,226,0.12827506093587793,4.42,24.2,1.0,2.6357331947444487,3.8505513780390737,6.486284572783522,615.7300000000002
107,Madagascar,193,0,101,92,0.40599408305662715,3.94,4.5,44.4,0.40309157380616323,0.5056933982654208,0.9087849720715839,26969.305999999997
108,Malawi,56,3,14,39,0.22734896215763048,3.94,4.7,17.5,0.27469906862774307,0.5061960950786337,0.7808951637063766,18628.749
109,Malaysia,6589,108,4929,1552,0.2609423475385212,16.74,15.3,2.5,1.0656251908267687,1.1383611954370025,2.203986386263771,31949.789
110,Maldives,790,3,29,758,0.16490514246770893,9.19,7.9,10.3,0.8364142482347913,0.7652220424629491,1.6016362906977406,530.9569999999999
111,Mali,692,37,298,357,0.2680241801876268,2.42,7.1,6.3,0.3121626218465611,0.3967489507973412,0.7089115726439025,19658.022999999997
112,Malta,490,5,427,58,0.16871066478665311,8.83,31.0,1.0,3.4225220663204476,4.94008542680476,8.36260749312521,440.377
113,Mauritania,8,1,6,1,0.2323471579139895,2.42,11.3,10.4,0.3769584271862594,0.5828935116748841,0.9598519388611436,4525.698
114,Mauritius,332,10,320,2,0.2246441750471266,22.02,11.5,6.5,1.49109611158805,2.4192900517457288,3.9103861633337798,1269.67
115,Mexico,33460,3353,21824,8283,0.15278290321440902,13.06,28.4,3.6,1.2400865686396645,1.631979907369226,2.8720664760088903,127575.529
118,Mongolia,42,0,14,28,0.46004252928184325,4.82,19.6,13.4,0.5208414078531153,0.8589325324649957,1.3797739403181108,3225.1659999999997
119,Montenegro,324,8,274,42,0.3873045627272448,10.08,24.9,1.0,2.2970184143646053,3.6989560310069622,5.995974445371567,627.9880000000002
120,Morocco,5910,186,2461,3263,0.4191458765938152,7.14,25.6,3.4,1.0658189680203587,1.5113636120609026,2.5771825800812613,36471.765999999996
121,Mozambique,87,0,34,53,0.3299419400002713,3.3,6.0,27.9,0.28416280646115133,0.5690138817230812,0.8531766881842324,30366.043
122,Namibia,16,0,10,6,0.24381057640340167,3.94,15.0,27.3,0.4319862226220314,0.834307467075883,1.2662936896979144,2494.524
123,Nepal,110,0,31,79,0.26079727028372,7.26,3.8,8.7,0.8566725209433558,1.0473626655374066,1.904035186480763,28608.715000000004
124,New Zealand,1494,21,1371,102,0.1287972514137827,8.08,32.0,1.0,2.970732973981938,3.7584501308994107,6.729183104881348,4783.062000000001
125,Nicaragua,16,5,7,4,0.13701563380350498,11.47,21.8,17.0,0.8753490755408714,1.2634170360933306,2.138766111634202,6545.502999999999
126,Niger,815,45,617,153,0.23833880993116044,2.42,4.7,16.5,0.29253923913715413,0.3728113234087717,0.6653505625459258,23310.718999999997
127,Nigeria,4151,128,745,3278,0.1810133494627609,2.42,7.8,13.4,0.30638334046986604,0.3495493659117964,0.6559327063816625,200963.60300000003
128,North Macedonia,1622,91,1112,419,0.32268814004519314,10.08,23.9,3.2,2.1062099643957306,2.99098901921709,5.09719898361282,2083.458
129,Norway,8099,219,32,7848,0.11431573915849705,5.31,25.0,1.0,3.0890380283253385,4.240825052301984,7.329863080627322,5378.859
130,Oman,3224,17,1068,2139,0.26634151668956557,12.61,22.9,6.8,0.4468750904524067,0.46082486162791825,0.9076999520803248,4974.991999999999
131,Pakistan,28736,636,7809,20291,0.4230313480473463,8.35,7.8,20.3,0.7663466260389239,0.7197505221946504,1.4860971482335743,216565.31699999998
132,Panama,8282,237,4501,3544,0.12834608716718346,8.33,22.5,10.0,1.5585761249423042,1.9128729005943799,3.471449025536684,4246.4400000000005
134,Paraguay,689,10,155,524,0.19912787423864742,8.27,19.0,10.7,1.0818297431564625,1.331977408636553,2.4138071517930153,7044.639000000001
135,Peru,65015,1814,20246,42955,0.08575458413505145,5.95,19.1,9.7,1.471612430484685,1.8088146517265733,3.280427082211259,32510.462000000003
136,Philippines,10610,704,1842,8064,0.3704368854041117,7.07,6.0,13.3,0.6083042439117271,1.0692925644680242,1.6775968083797512,108116.62199999999
137,Poland,15651,785,5437,9429,0.22733091915806444,5.91,25.6,1.0,2.4330040423861305,4.800475066215958,7.233479108602086,37887.771
138,Portugal,27406,1126,2499,23781,0.1278421969422977,9.85,23.2,1.0,4.204718517514558,6.67756810022278,10.88228661773734,10226.178000000002
140,Romania,15131,939,6912,7280,0.37094633116924525,9.74,24.5,1.0,2.8647284384182687,5.076511428765892,7.94123986718416,19364.558
141,Russia,198676,1827,31916,164933,0.43129748860208406,6.18,25.7,1.0,1.6250471474151424,4.51644610154117,6.141493248956313,145872.26
142,Rwanda,280,0,140,140,0.1913751082014245,4.28,4.8,36.8,0.313274683062513,0.5164830935259206,0.8297577765884334,12626.937999999998
145,Saint Vincent and the Grenadines,17,0,9,8,0.2526754042434364,11.62,23.8,5.7,1.9223639832539132,2.105919904514752,4.028283887768666,110.59299999999999
147,Sao Tome and Principe,208,5,4,199,0.27011344425892736,2.42,10.6,7.0,0.3720099698671925,0.6170715375172053,0.9890815073843978,215.048
